flux wave error
-0.012621740810573101 1194.6043115971368 7.908653969934676e-06
-0.012599878944456577 1194.6578157198624 8.527533282176591e-06
-0.012582450173795223 1194.71131949419 8.515737135894597e-06
-0.012566623277962208 1194.7648229201263 7.87411681812955e-06
-0.0012849202612414956 1194.8183259976786 1.326088204223197e-05
0.0024045368190854788 1194.8718287268528 1.2086323295079637e-05
-0.0020655631087720394 1194.9253311076563 1.1256720426899847e-05
-0.03126469999551773 1194.9788331400957 1.2564209100673907e-05
-0.0043511586263775826 1195.0323348241777 1.1848187568830326e-05
-0.010320226661860943 1195.0858361599091 1.504744250269141e-05
-0.033458348363637924 1195.1393371472975 1.1163641829625703e-05
-0.026882654055953026 1195.1928377863487 1.217241970152827e-05
-0.036572933197021484 1195.2463380770698 1.1458535482233856e-05
-0.0382583923637867 1195.2998380194676 1.1771996469178703e-05
-0.03939282149076462 1195.3533376135495 1.199769576487597e-05
-0.03900732845067978 1195.4068368593214 3.050631858059205e-05
-0.047855500131845474 1195.4603357567905 1.19967871796689e-05
-0.036945972591638565 1195.5138343059637 1.1967610589636024e-05
-0.05925587937235832 1195.5673325068478 1.4136599929770455e-05
-0.04569978639483452 1195.6208303594492 1.368691573588876e-05
-0.007072459440678358 1195.6743278637753 2.9697015634155832e-05
-0.04853586480021477 1195.7278250198326 1.1009443369403016e-05
-0.06528069078922272 1195.7813218276276 1.3096929251332767e-05
-0.05135636404156685 1195.8348182871675 1.123994752560975e-05
-0.03978390991687775 1195.888314398459 1.1742209608200938e-05
-0.062049683183431625 1195.9418101615092 1.2068305295542814e-05
-0.045944489538669586 1195.9953055763244 1.2838512702728622e-05
-0.0569467768073082 1196.0488006429116 1.313905704591889e-05
-0.04366657882928848 1196.1022953612774 1.1842528692795895e-05
-0.0675341933965683 1196.155789731429 1.2063698704878334e-05
-0.07795337587594986 1196.2092837533733 1.3109594874549657e-05
-0.060304634273052216 1196.2627774271166 1.3115725778334308e-05
-0.06256336718797684 1196.3162707526656 1.2594725376402494e-05
-0.048464205116033554 1196.369763730028 1.2092766155546997e-05
-0.042151276022195816 1196.4232563592093 1.4523938261845615e-05
-0.04979380592703819 1196.4767486402175 1.154201618192019e-05
-0.05647096782922745 1196.5302405730588 1.3004409993300214e-05
-0.0525357611477375 1196.5837321577399 1.3674180991074536e-05
-0.01583257131278515 1196.637223394268 1.726086702547036e-05
-0.029030149802565575 1196.6907142826497 1.6524631064385176e-05
-0.05432475358247757 1196.7442048228918 1.1839977560157422e-05
-0.0469210222363472 1196.797695015001 1.500390499131754e-05
-0.05284345522522926 1196.8511848589842 1.2887634511571378e-05
-0.03283987566828728 1196.9046743548483 1.4283408745541237e-05
-0.031603991985321045 1196.9581635025997 1.4870292943669483e-05
-0.06365051120519638 1197.011652302246 1.2443845662346575e-05
-0.07706861197948456 1197.065140753793 1.6484278603456914e-05
-0.03500895947217941 1197.1186288572483 1.4690056559629738e-05
-0.050174444913864136 1197.1721166126183 1.4264808669395279e-05
-0.03978743404150009 1197.2256040199095 1.6395604689023457e-05
-0.06456630676984787 1197.2790910791293 1.393503862345824e-05
-0.020742760971188545 1197.3325777902842 1.9581246306188405e-05
-0.043722379952669144 1197.3860641533813 1.6408970623160712e-05
-0.034969501197338104 1197.4395501684269 1.341694405709859e-05
-0.05432582274079323 1197.493035835428 1.4506916159007233e-05
-0.03610288351774216 1197.5465211543917 1.3766491065325681e-05
-0.07430809736251831 1197.6000061253244 1.4244638805394061e-05
-0.017886068671941757 1197.6534907482328 2.754691377049312e-05
-0.06175493448972702 1197.7069750231242 2.051287992799189e-05
-0.03839903324842453 1197.760458950005 1.5570079995086417e-05
-0.039269015192985535 1197.813942528882 1.630653059692122e-05
-0.021957984194159508 1197.8674257597625 1.628686186450068e-05
-0.07184679061174393 1197.9209086426524 1.592911758052651e-05
-0.01495578046888113 1197.974391177559 1.977519059437327e-05
-0.04026787355542183 1198.0278733644893 1.4198771168594249e-05
-0.05244436115026474 1198.0813552034501 1.233092370966915e-05
-0.021639196202158928 1198.1348366944476 2.9353635909501463e-05
-0.050264012068510056 1198.188317837489 1.61365660460433e-05
-0.10106472671031952 1198.2417986325809 1.2226006219862029e-05
-0.10066621005535126 1198.2952790797306 1.938375862664543e-05
-0.05859433114528656 1198.3487591789442 1.3665630831383169e-05
-0.04245578870177269 1198.4022389302288 1.324926324741682e-05
-0.07291025668382645 1198.4557183335912 1.2385263289615978e-05
-0.055120814591646194 1198.5091973890385 1.9421771867200732e-05
-0.04543980956077576 1198.562676096577 1.3532107004721183e-05
-0.045756593346595764 1198.6161544562135 1.6636966392979957e-05
-0.06101354956626892 1198.6696324679551 1.2883150702691637e-05
-0.06739242374897003 1198.7231101318087 1.4107950846664608e-05
-0.056796032935380936 1198.7765874477805 1.8446127796778455e-05
