Net_photons Gross_photons Sky_photons Error_photons Time_hr Exptime
6.967848300933838 12.647984504699707 5.680136203765869 3.5775880813598633 -3.1933084585620115 589.0144375
6.482760906219482 21.338119506835938 14.855358123779297 4.627223014831543 -1.6044374638514922 589.0466875
9.434688568115234 19.923051834106445 10.488363265991211 4.471845626831055 -13.515183966657824 589.0289375
3.363630771636963 19.8829402923584 16.519309997558594 4.467360496520996 -0.17918910916196615 589.04803125
11.328134536743164 28.893892288208008 17.565757751464844 5.375304222106934 -0.015566569652472599 589.04803125
8.895977973937988 18.959280014038086 10.063302040100098 4.3542256355285645 -13.351566210455664 589.0289375
6.5999040603637695 17.514177322387695 10.914273262023926 4.202482223510742 -1.768059679229983 589.0466875
16.97545051574707 22.408382415771484 5.432931900024414 4.7337493896484375 -3.356921744445964 589.0144375
-0.9754081964492798 11.572859764099121 12.54826831817627 3.4313762187957764 -5.045966473305488 523.750375
2.6559057235717773 4.605534076690674 1.9496283531188965 2.2221553325653076 -14.768046557985066 523.7920625
2.4592173099517822 17.5130558013916 15.053838729858398 4.194099426269531 0.1480559698222294 589.04803125
5.917409896850586 17.08820915222168 11.170799255371094 4.160660743713379 -3.520535153242456 589.0144375
9.811922073364258 20.616458892822266 10.804536819458008 4.548575401306152 1.7363705179563953 589.04871875
2.7436130046844482 8.840031623840332 6.096418380737305 2.9951579570770264 -15.204536400811355 523.7920625
4.253830432891846 11.95263385772705 7.698803424835205 3.4857800006866455 -4.609512370936586 523.750375
6.044854164123535 30.787654876708984 24.742801666259766 5.555195331573486 1.2455023295148238 589.04871875
1.485797643661499 10.166866302490234 8.681068420410156 3.2119064331054688 -13.67880174526103 589.0289375
12.606914520263672 23.6722412109375 11.065326690673828 4.872950553894043 1.4091251036997026 589.04871875
12.02865219116211 12.782303810119629 0.7536516189575195 3.593872547149658 -15.059039872204613 523.7920625
10.526365280151367 11.574335098266602 1.0479698181152344 3.43145751953125 -4.75499703074234 523.750375
10.755797386169434 12.718022346496582 1.9622249603271484 3.5846729278564453 -4.900481813499734 523.750375
3.7575466632843018 9.898119926452637 6.140573501586914 3.1774818897247314 -14.913543209504352 523.7920625
5.853818416595459 22.03716278076172 16.1833438873291 4.694375514984131 1.5727477437715165 589.04871875
-2.200618028640747 11.740253448486328 13.940871238708496 3.447720766067505 -1.9316819281513962 589.0466875
9.036391258239746 16.79378318786621 7.757391929626465 4.107253074645996 -1.4408152372529366 589.0466875
5.947358131408691 11.117904663085938 5.170546531677246 3.34529185295105 -13.187948465395385 589.0289375
5.259459495544434 33.790069580078125 28.530609130859375 5.812922477722168 -0.34281165981334183 589.04803125
3.3095719814300537 10.577905654907227 7.268333435058594 3.286604404449463 -3.0296951950791082 589.0144375
