flux wave error
-0.012629840523004532 1194.5808272235417 5.355100256565493e-06
-0.012613731436431408 1194.6343272197703 5.125218649482122e-06
-0.01260097324848175 1194.6878268676326 4.799465386895463e-06
-0.012098157778382301 1194.7413261671356 5.562142177950591e-06
-0.006153907161206007 1194.7948251182859 7.632635060872417e-06
0.008113455958664417 1194.8483237210908 7.780258783895988e-06
-0.03239995986223221 1194.9018219755567 7.075784196786117e-06
-0.03892481327056885 1194.9553198816905 7.0454771048389375e-06
-0.025615746155381203 1195.008817439499 6.655459856119705e-06
-0.06850238889455795 1195.062314648989 7.882147656346206e-06
-0.07267104834318161 1195.1158115101675 6.970847607590258e-06
-0.05454408377408981 1195.1693080230407 6.8989343162684236e-06
-0.05455613136291504 1195.222804187616 7.263244697242044e-06
-0.05641377717256546 1195.2763000039001 7.2977441050170455e-06
-0.06458284705877304 1195.3297954718998 7.238083071570145e-06
-0.07939979434013367 1195.383290591622 9.846783541433979e-06
-0.07835807651281357 1195.4367853630729 6.816682343924185e-06
-0.06292124092578888 1195.4902797862599 6.804438726248918e-06
-0.09337043762207031 1195.54377386119 8.791698746790644e-06
-0.036336615681648254 1195.597267587869 1.0342371751903556e-05
-0.020254766568541527 1195.6507609663047 1.3466143172990996e-05
-0.04847711697220802 1195.7042539965037 7.442300557158887e-06
-0.07698637992143631 1195.7577466784724 6.943055723240832e-06
-0.09088363498449326 1195.8112390122178 8.78658738656668e-06
-0.08495338261127472 1195.8647309977468 6.6247503127669916e-06
-0.08010324090719223 1195.9182226350663 7.195180842245463e-06
-0.07172910869121552 1195.9717139241825 7.29561224943609e-06
-0.060740627348423004 1196.025204865103 8.118598088913132e-06
-0.07560839504003525 1196.0786954578343 7.1220588324649725e-06
-0.09989673644304276 1196.132185702383 6.34575462754583e-06
-0.1144196093082428 1196.185675598756 7.403458766930271e-06
-0.058227211236953735 1196.2391651469602 7.917398761492223e-06
-0.05113579332828522 1196.2926543470026 8.534849257557653e-06
-0.05143611878156662 1196.3461431988894 8.4393550423556e-06
-0.054094236344099045 1196.3996317026279 8.23007485450944e-06
-0.05308321490883827 1196.4531198582245 8.192320819944143e-06
-0.08331794291734695 1196.5066076656865 7.2265338530996814e-06
-0.05888274684548378 1196.5600951250203 7.965405529830605e-06
-0.08039793372154236 1196.6135822362328 8.776526556175668e-06
-0.0686517059803009 1196.667068999331 8.309032637043856e-06
-0.07042346894741058 1196.7205554143213 8.369840543309692e-06
-0.052377305924892426 1196.7740414812108 1.0396031939308159e-05
-0.08647870272397995 1196.8275272000064 7.808456757629756e-06
-0.0839114561676979 1196.8810125707146 7.50690787754138e-06
-0.054374899715185165 1196.934497593342 8.292918209917843e-06
-0.054449744522571564 1196.987982267896 8.414246622123756e-06
-0.057297516614198685 1197.041466594383 9.540575774735771e-06
-0.042725078761577606 1197.09495057281 9.097458132600877e-06
-0.050174448639154434 1197.1484342031836 1.4264808669395279e-05
-0.05232835188508034 1197.2019174855106 1.0437680430186447e-05
-0.05040293186903 1197.255400419798 1.147591228800593e-05
-0.02545815519988537 1197.3088830060524 1.1458390872576274e-05
-0.05074997618794441 1197.3623652442807 1.0494421985640656e-05
-0.03164847940206528 1197.4158471344897 9.667654921940994e-06
-0.051863569766283035 1197.469328676686 9.044448233908042e-06
-0.03238307684659958 1197.522809870877 9.868450433714315e-06
-0.07967749238014221 1197.5762907170686 1.134797821578104e-05
-0.081047423183918 1197.6297712152682 8.183614227164071e-06
-0.039731573313474655 1197.6832513654822 1.1756739695556462e-05
-0.05587160587310791 1197.7367311677178 9.111614417633973e-06
-0.06379473954439163 1197.7902106219817 8.36065646581119e-06
-0.027827728539705276 1197.8436897282804 1.2507128303695936e-05
-0.08526264876127243 1197.897168486621 8.239939234044868e-06
-0.05358167365193367 1197.95064689701 9.953088920156006e-06
-0.06459693610668182 1198.0041249594547 9.914496331475675e-06
-0.060456208884716034 1198.0576026739618 8.34916590974899e-06
-0.06157722324132919 1198.1110800405372 1.0974451470247004e-05
-0.10964206606149673 1198.1645570591888 1.0117810234078206e-05
-0.07553638517856598 1198.2180337299228 8.196217095246539e-06
-0.05382250249385834 1198.2715100527462 1.126441202359274e-05
-0.07346361130475998 1198.3249860276655 1.0817778274940792e-05
-0.06581998616456985 1198.3784616546877 9.597381904313806e-06
-0.09673002362251282 1198.43193693382 7.321173598029418e-06
-0.06636395305395126 1198.4854118650685 9.626922292227391e-06
