flux wave error
-0.012636697851121426 1194.5808272235417 7.277203167177504e-06
-0.012621566653251648 1194.6343272197703 6.4126647885132115e-06
-0.012609599158167839 1194.6878268676326 5.810152288177051e-06
-0.01163160428404808 1194.7413261671356 7.858022399886977e-06
-0.008566048927605152 1194.7948251182859 9.333715752291027e-06
0.012153057381510735 1194.8483237210908 1.0166850188397802e-05
-0.05221473053097725 1194.9018219755567 9.09784921532264e-06
-0.042438358068466187 1194.9553198816905 8.509236067766324e-06
-0.03541877120733261 1195.008817439499 8.044582500588149e-06
-0.09050370752811432 1195.062314648989 9.253202733816579e-06
-0.09773150086402893 1195.1158115101675 8.924564099288546e-06
-0.06763467937707901 1195.1693080230407 8.373735909117386e-06
-0.06663481146097183 1195.222804187616 9.390857485414017e-06
-0.06774605065584183 1195.2763000039001 9.30049554881407e-06
-0.0789971724152565 1195.3297954718998 9.075713023776188e-06
-0.08409756422042847 1195.383290591622 1.0403643500467297e-05
-0.09290177375078201 1195.4367853630729 8.283888746518642e-06
-0.07532965391874313 1195.4902797862599 8.27152507554274e-06
-0.1148870587348938 1195.54377386119 1.1226957212784328e-05
-0.023874688893556595 1195.597267587869 1.5790172255947255e-05
-0.023666871711611748 1195.6507609663047 1.5108746993064415e-05
-0.04842769354581833 1195.7042539965037 1.009935476758983e-05
-0.08156201243400574 1195.7577466784724 8.18836360849673e-06
-0.15299490094184875 1195.8112390122178 1.4089676369621884e-05
-0.10604415088891983 1195.8647309977468 8.023677764867898e-06
-0.09005968272686005 1195.9182226350663 8.9622453742777e-06
-0.08402653783559799 1195.9717139241825 8.866281859809533e-06
-0.06308368593454361 1196.025204865103 1.0325613402528688e-05
-0.0937068834900856 1196.0786954578343 8.914267709769774e-06
-0.11227695643901825 1196.132185702383 7.461452696588822e-06
-0.13149569928646088 1196.185675598756 8.97093559615314e-06
-0.05703618377447128 1196.2391651469602 9.930958185577765e-06
-0.0414319783449173 1196.2926543470026 1.1606006410147529e-05
-0.05425788462162018 1196.3461431988894 1.1783346963056829e-05
-0.05974287912249565 1196.3996317026279 9.988506462832447e-06
-0.0564228892326355 1196.4531198582245 1.1629867003648542e-05
-0.09531214088201523 1196.5066076656865 8.69217637955444e-06
-0.06214255467057228 1196.5600951250203 9.799711733649019e-06
-0.10291073471307755 1196.6135822362328 1.0192425179411657e-05
-0.0820593535900116 1196.667068999331 9.612631401978433e-06
-0.08650459349155426 1196.7205554143213 1.1833509233838413e-05
-0.05741577595472336 1196.7740414812108 1.4418010323424824e-05
-0.1059880405664444 1196.8275272000064 9.81516313913744e-06
-0.10340238362550735 1196.8810125707146 8.823856660455931e-06
-0.06465372443199158 1196.934497593342 9.990822036343161e-06
-0.04669944941997528 1196.987982267896 1.1420936061767861e-05
-0.047338858246803284 1197.041466594383 1.1699163223966025e-05
-0.04752546548843384 1197.09495057281 1.158676423074212e-05
-0.005895659327507019 1197.1484342031836 0.043381791561841965
-0.060874469578266144 1197.2019174855106 1.353464995190734e-05
-0.02055327594280243 1197.255400419798 2.0229934307280928e-05
-0.02791365422308445 1197.3088830060524 1.4130295312497765e-05
-0.05561397969722748 1197.3623652442807 1.3651347217091825e-05
-0.028062211349606514 1197.4158471344897 1.394245100527769e-05
-0.05029793828725815 1197.469328676686 1.1567904948606156e-05
-0.028451036661863327 1197.522809870877 1.4153757547319401e-05
-0.08900467306375504 1197.5762907170686 1.8774298951029778e-05
-0.08716139942407608 1197.6297712152682 8.570549653086346e-06
-0.028958221897482872 1197.6832513654822 1.4346973330248147e-05
-0.06497164070606232 1197.7367311677178 1.123657693824498e-05
-0.07254138588905334 1197.7902106219817 9.738034350448288e-06
