Flux Error Time_hr
0.41102030873298645 0.11246004621982575 -18.27886966635181
0.10444184392690659 0.08989831358194351 1.5826375117817115
-0.013227786868810654 0.04042131702303887 -4.970748789030576
0.1645922064781189 0.07979471813440323 -0.010794277650397506
0.20317311584949493 0.07011287888288498 -0.17442877533049247
0.11441117525100708 0.07407644548416138 1.4190031817497877
0.03316161036491394 0.06114960346221924 -18.424373917494147
0.08852187544107437 0.07107146594524384 -3.1971076460261054
-0.03512231260538101 0.05209181762337685 -0.3380633959231319
0.13009154796600342 0.05145650517940521 -17.15851376598225
0.08344914764165878 0.11607829985618591 -18.13336529229693
0.1859002709388733 0.10170858628749847 -1.4405931899206157
0.09031733870506287 0.08539421817064285 -16.66761504506832
0.11241898685693741 0.051504892963171005 -3.3607360416692615
0.09285801649093628 0.0734150727033615 -1.604227352288728
0.01999339461326599 0.05193982387781143 -3.5243644373124225
0.15359686315059662 0.07572522006034851 -16.831247989296514
0.11315751820802689 0.05837774051427841 -1.9314958000156885
0.06800144165754318 0.08543831392526627 -3.0334792503829444
0.2400311529636383 0.0726139722943306 -16.99488082175405
0.2758514881134033 0.09280884306430817 -4.534228626057096
0.006370501592755318 0.04762113713622093 -1.7678615035149627
0.1016184613108635 0.0656635981798172 -18.569878302690906
0.06683555990457535 0.06617149994373321 1.255368941118755
-0.06499706208705902 0.05937757680416107 -4.679735380565119
0.08829094469547272 0.04983233590722084 -4.825242135073142
0.02193951979279518 0.07990073856115341 0.15284033178550382
0.024159282445907593 0.09282728830575943 1.7462718306404788
