Flux Error Time_hr
0.7491766214370728 0.14474472119808196 -18.27886966635181
0.9586170315742493 0.13938050441741942 1.5826375117817115
0.7809044718742371 0.12179191513061524 -4.970748789030576
0.755775511264801 0.13028959910869597 -0.010794277650397506
0.8453134298324585 0.13042188637256621 -0.17442877533049247
0.8450537919998169 0.13454145917892457 1.4190031817497877
1.2629104852676392 0.16109245340824127 -18.424373917494147
0.6882901787757874 0.11407527244091034 -3.1971076460261054
0.7287716269493103 0.12561321256160737 -0.3380633959231319
0.7559717297554016 0.11544107172489167 -17.15851376598225
1.4092425107955933 0.1763642110824585 -18.13336529229693
0.8889016509056091 0.13686538169384002 -1.4405931899206157
1.1252248287200928 0.1503068351507187 -16.66761504506832
0.7473981380462646 0.11348090741634369 -3.3607360416692615
1.0387464761734009 0.13711506278514862 -1.604227352288728
0.5428293347358704 0.09621180902719498 -3.5243644373124225
1.0547759532928467 0.1430354325056076 -16.831247989296514
0.7849072813987732 0.12022416491508484 -1.9314958000156885
1.0074273347854614 0.14320458483695983 -3.0334792503829444
0.9984009265899658 0.1325375676393509 -16.99488082175405
0.6179096698760986 0.1574101529121399 -4.534228626057096
0.8577032685279846 0.12433467712402343 -1.7678615035149627
1.1924645900726318 0.1504523384332657 -18.569878302690906
0.9636731147766113 0.14047080054283143 1.255368941118755
1.014114499092102 0.15673781337738038 -4.679735380565119
0.9772607088088989 0.1408388793706894 -4.825242135073142
0.7792560458183289 0.15334975991249084 0.15284033178550382
0.7975045442581177 0.13629659729003907 1.7462718306404788
